ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100
27258,3210,6,-20,16930,-9,-2,2,-56,-101
27308,3207,8,-12,16890,-10,0,-6,-56,-101
27358,3249,-32,-4,16902,-8,-2,-5,-54,-102
27408,3208,4,-8,16924,-11,-1,-6,-55,-102
27458,3087,38,-22,16890,-9,-1,-6,-57,-102
27508,2941,76,-50,16924,-10,1,-12,-60,-100
27558,2992,30,-34,16912,-8,-1,-4,-61,-99
27608,3003,-52,24,16892,-11,-1,-1,-57,-102
27658,3091,28,-38,16906,-8,-2,-1,-58,-101
27708,2942,14,-32,16894,-9,-1,0,-58,-100
27758,2968,6,-14,16906,-9,-2,4,-58,-100
27808,2659,18,-26,16906,-10,-2,3,-58,-100
27858,2632,-6,-20,16922,-10,-3,4,-58,-100
27908,2444,10,-20,16884,-9,-1,4,-58,-100
27958,2504,-12,-34,16912,-9,-2,3,-57,-99
28008,2357,16,-34,16906,-11,-3,5,-57,-99
28058,2092,46,-46,16882,-9,-3,10,-59,-98
28108,1931,76,-56,16914,-11,-2,15,-62,-96
28158,1731,120,-108,16880,-9,-5,14,-67,-92
28208,1704,68,-14,16890,-10,-4,20,-69,-94
28258,1662,-116,68,16900,-9,-3,15,-61,-99
28308,1819,-6,-34,16900,-8,-2,3,-59,-99
28358,1955,-4,-22,16900,-7,-2,2,-58,-99
28408,2209,20,-28,16896,-9,-3,4,-59,-99
28458,2545,6,-48,16892,-9,-2,3,-59,-98
28508,2817,12,-40,16908,-9,-2,5,-59,-97
28558,3204,28,-32,16912,-8,-1,-1,-59,-97
28608,3834,-44,-26,16916,-7,0,4,-56,-97
28658,5128,22,-14,16898,0,-2,5,-57,-98
28708,7472,36,-54,16902,8,12,1,-59,-97
28758,12299,-40,16,16930,24,15,-7,-56,-99
28808,17248,-132,94,16936,14,16,2,-49,-105
28858,19757,-42,28,16846,5,6,4,-48,-107
28908,21174,-58,102,16906,12,5,-2,-46,-112
28958,22055,-72,56,16886,9,0,6,-43,-114
29008,22626,-26,134,16888,11,1,2,-44,-120
29058,22944,-84,122,16862,-5,-1,1,-41,-124
29108,23105,-40,70,16894,2,5,1,-41,-125
29158,23138,-46,162,16916,-9,-2,4,-41,-131
29208,23178,-40,88,16912,-8,0,-1,-41,-132
29258,23234,-54,118,16838,-9,-2,-1,-40,-134
29308,23259,-58,92,16866,-11,-3,6,-39,-135
29358,23314,-50,140,16852,-4,0,2,-39,-138
29408,23324,-36,108,16836,-9,0,5,-40,-139
29458,23349,-64,140,16948,-8,-2,2,-39,-141
29508,23371,-48,140,16924,-11,-1,4,-38,-143
29558,23380,-70,164,16948,-16,-3,3,-37,-146
29608,23409,-60,124,16948,-6,0,3,-37,-146
29658,23387,-30,82,16864,-10,1,2,-38,-145
29708,23403,-62,142,16912,-14,-4,1,-37,-146
29758,23379,-58,108,16880,-10,1,3,-37,-146
29808,23370,-28,156,16954,-15,-4,3,-38,-148
29858,23379,-50,100,16998,-12,-3,3,-38,-147
29908,23333,-24,124,16996,-10,1,4,-39,-147
29958,23319,-30,114,16968,-12,-2,4,-40,-147
30008,23305,-54,118,16984,-11,-3,4,-39,-147
30058,23281,-50,138,17012,-11,-1,2,-39,-148
30108,23264,-60,122,17010,-12,-2,3,-38,-148
30158,23211,-72,130,16966,-12,-2,3,-37,-148
30208,23178,-54,106,16996,-10,0,3,-37,-148
30258,23170,-42,86,17012,-9,-1,2,-38,-146
30308,23154,-92,146,16988,-12,-5,3,-35,-147
30358,22925,-72,114,16976,-36,1,1,-35,-147
30408,21825,-98,146,17130,-22,-6,1,-33,-149
30458,20573,-12,54,16998,-26,-3,5,-35,-145
30508,17418,-74,134,17084,-32,-11,12,-35,-146
30558,14340,-8,30,16970,-26,-7,-39,-37,-142
30608,11324,-120,122,17044,-18,1,-57,-34,-143
30658,8332,88,-160,16988,-18,-4,-37,-41,-129
30708,7776,-92,76,17004,-9,-3,-25,-39,-130
30758,8171,-6,2,16986,-10,-3,4,-41,-127
30808,9240,-24,20,17024,0,-2,5,-42,-125
30858,11387,8,18,17008,-9,-3,3,-44,-123
30908,11862,-32,26,16996,-7,-1,2,-44,-122
30958,12922,14,22,16994,-8,-2,3,-46,-121
31008,13668,-36,0,16982,-6,-2,3,-46,-119
